oneTeam,url,two,twoTeam,one
"Gangplank,Kindred,Galio,Orianna,Zyra",http://www.op.gg/summoner/matches/ajax/detail/gameId=3281625355&summonerId=64250795&gameTime=1532336477,(Blue Team),"Jayce,Xin Zhao,Twisted Fate,Ezreal,Pyke",(Red Team)
"Yasuo,Kindred,Maokai,Galio,Bard",http://www.op.gg/summoner/matches/ajax/detail/gameId=3281207608&summonerId=64250795&gameTime=1532275625,(Red Team),"Poppy,Ryze,Tahm Kench,Orianna,Camille",(Blue Team)
"Camille,Gragas,Lucian,Urgot,Katarina",http://www.op.gg/summoner/matches/ajax/detail/gameId=3281700590&summonerId=64250795&gameTime=1532340875,(Blue Team),"Shen,Nocturne,Ezreal,Orianna,Kennen",(Red Team)
"Gangplank,Camille,Swain,Riven,Tahm Kench",http://www.op.gg/summoner/matches/ajax/detail/gameId=3281306112&summonerId=64250795&gameTime=1532292318,(Blue Team),"Cassiopeia,Soraka,Aatrox,Twitch,Vladimir",(Red Team)
"Kha'Zix,Rakan,Kennen,Kled,Orianna",http://www.op.gg/summoner/matches/ajax/detail/gameId=3280044785&summonerId=64250795&gameTime=1532194623,(Red Team),"Twisted Fate,Pyke,Darius,Ziggs,Kindred",(Blue Team)
"Talon,Rakan,Kled,Kindred,Kennen",http://www.op.gg/summoner/matches/ajax/detail/gameId=3281278951&summonerId=64250795&gameTime=1532283233,(Blue Team),"Xin Zhao,Jax,LeBlanc,Vladimir,Shen",(Red Team)
"Darius,Lee Sin,Yasuo,Sona,Teemo",http://www.op.gg/summoner/matches/ajax/detail/gameId=3281313135&summonerId=64250795&gameTime=1532287086,(Blue Team),"Talon,Lee Sin,Fiora,Annie,Jhin",(Red Team)
"Yasuo,Zed,Braum,Kindred,Ezreal",http://www.op.gg/summoner/matches/ajax/detail/gameId=3280623794&summonerId=64250795&gameTime=1532255331,(Blue Team),"Blitzcrank,Kai'Sa,Garen,Malzahar,Evelynn",(Red Team)
"Kindred,Soraka,Vladimir,Tryndamere,LeBlanc",http://www.op.gg/summoner/matches/ajax/detail/gameId=3280029647&summonerId=64250795&gameTime=1532196484,(Red Team),"Taliyah,Lee Sin,Morgana,Kled,Aatrox",(Blue Team)
"Tryndamere,Nidalee,Aatrox,Lucian,Braum",http://www.op.gg/summoner/matches/ajax/detail/gameId=3280040120&summonerId=64250795&gameTime=1532192819,(Red Team),"Quinn,Nocturne,Graves,Yasuo,Alistar",(Blue Team)
