oneTeam,url,two,twoTeam,one
"Kayn,Nami,Janna,Twisted Fate,Trundle",http://www.op.gg/summoner/matches/ajax/detail/gameId=3386374617&summonerId=57541180&gameTime=1539848842,(Blue Team),"Lee Sin,Morgana,Amumu,Graves,Pantheon",(Red Team)
"Jayce,Camille,Galio,Xayah,Rakan",http://www.op.gg/summoner/matches/ajax/detail/gameId=3384060743&summonerId=54692988&gameTime=1539628210,(Red Team),"Irelia,Gragas,Rumble,Ezreal,Thresh",(Blue Team)
"Heimerdinger,Xerath,Rumble,Kai'Sa,Jinx",http://www.op.gg/summoner/matches/ajax/detail/gameId=3383078922&summonerId=57541180&gameTime=1539575281,(Red Team),"Sona,Zed,Kayle,Vladimir,Lux",(Blue Team)
"Sivir,Corki,Shaco,Renekton,Maokai",http://www.op.gg/summoner/matches/ajax/detail/gameId=3385834299&summonerId=57541180&gameTime=1539777860,(Red Team),"Zyra,Nunu & Willump,Yasuo,Taliyah,Nidalee",(Blue Team)
"Akali,Camille,Aatrox,Yasuo,Alistar",http://www.op.gg/summoner/matches/ajax/detail/gameId=3382931668&summonerId=57541180&gameTime=1539533712,(Blue Team),"Renekton,Gragas,Irelia,Kai'Sa,Shen",(Red Team)
"Aatrox,Gragas,Kassadin,Yasuo,Thresh",http://www.op.gg/summoner/matches/ajax/detail/gameId=3382909062&summonerId=57541180&gameTime=1539536521,(Red Team),"Urgot,Nidalee,Lissandra,Cho'Gath,Leona",(Blue Team)
"Vel'Koz,Brand,Jax,Rakan,Ezreal",http://www.op.gg/summoner/matches/ajax/detail/gameId=3381017571&summonerId=57541180&gameTime=1539429729,(Blue Team),"Singed,Ahri,Kassadin,Galio,Cho'Gath",(Red Team)
"Zyra,Kog'Maw,Lissandra,Zoe,Syndra",http://www.op.gg/summoner/matches/ajax/detail/gameId=3386377457&summonerId=57541180&gameTime=1539850786,(Red Team),"Shaco,Sivir,LeBlanc,Tristana,Ekko",(Blue Team)
"Thresh,Soraka,Fiddlesticks,Maokai,Ashe",http://www.op.gg/summoner/matches/ajax/detail/gameId=3381063098&summonerId=57541180&gameTime=1539431135,(Red Team),"Nunu & Willump,Lucian,Nasus,Xerath,Janna",(Blue Team)
"Jax,Evelynn,Jayce,Ezreal,Poppy",http://www.op.gg/summoner/matches/ajax/detail/gameId=3379682312&summonerId=57541180&gameTime=1539348104,(Blue Team),"Singed,Gragas,Galio,Kai'Sa,Alistar",(Red Team)
"Kennen,Azir,Sejuani,Taric,Thresh",http://www.op.gg/summoner/matches/ajax/detail/gameId=3379750388&summonerId=57541180&gameTime=1539349369,(Red Team),"Lulu,Rammus,Vi,Pyke,Trundle",(Blue Team)
"Sion,Taliyah,Irelia,Ryze,Tahm Kench",http://www.op.gg/summoner/matches/ajax/detail/gameId=3377195435&summonerId=57541180&gameTime=1539147777,(Red Team),"Camille,Nocturne,Urgot,Lucian,Alistar",(Blue Team)
"Rumble,Vi,Irelia,Ezreal,Morgana",http://www.op.gg/summoner/matches/ajax/detail/gameId=3377211736&summonerId=57541180&gameTime=1539145509,(Red Team),"Urgot,Camille,Poppy,Xayah,Rakan",(Blue Team)
"Kindred,Alistar,Zoe,Ekko,Darius",http://www.op.gg/summoner/matches/ajax/detail/gameId=3382955735&summonerId=57541180&gameTime=1539540879,(Blue Team),"Irelia,Ezreal,Gragas,Aatrox,Braum",(Red Team)
"Gangplank,Gragas,Kassadin,Irelia,Pyke",http://www.op.gg/summoner/matches/ajax/detail/gameId=3382981743&summonerId=57541180&gameTime=1539538560,(Blue Team),"Darius,Camille,Lissandra,Kai'Sa,Alistar",(Red Team)
"Jayce,Gnar,Malzahar,Ezreal,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3376773170&summonerId=57541180&gameTime=1539104773,(Blue Team),"Rakan,Janna,Rengar,Cassiopeia,Thresh",(Red Team)
"Karma,Nami,Heimerdinger,Kalista,Janna",http://www.op.gg/summoner/matches/ajax/detail/gameId=3378804486&summonerId=57541180&gameTime=1539274967,(Blue Team),"Volibear,Nidalee,Corki,Vladimir,Veigar",(Red Team)
"Urgot,Taliyah,Yasuo,Jhin,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3370653878&summonerId=41913808&gameTime=1538747371,(Blue Team),"Sion,Evelynn,Irelia,Ezreal,Alistar",(Red Team)
"Gangplank,Taliyah,Akali,Kai'Sa,Shen",http://www.op.gg/summoner/matches/ajax/detail/gameId=3376629424&summonerId=57541180&gameTime=1539097046,(Red Team),"Irelia,Lee Sin,Orianna,Jinx,Thresh",(Blue Team)
"Camille,Xin Zhao,Katarina,Jinx,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3370434631&summonerId=41913808&gameTime=1538736099,(Blue Team),"Ryze,Taliyah,Syndra,Irelia,Pyke",(Red Team)
"Jayce,Skarner,LeBlanc,Kai'Sa,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3370539715&summonerId=41913808&gameTime=1538742159,(Red Team),"Nasus,Camille,Zoe,Lucian,Rakan",(Blue Team)
"Urgot,Nidalee,Jayce,Xayah,Morgana",http://www.op.gg/summoner/matches/ajax/detail/gameId=3369678935&summonerId=41913808&gameTime=1538679516,(Red Team),"Poppy,Taliyah,Zed,Kai'Sa,Rakan",(Blue Team)
"Thresh,LeBlanc,Kindred,Aatrox,Ezreal",http://www.op.gg/summoner/matches/ajax/detail/gameId=3370412769&summonerId=41913808&gameTime=1538734087,(Blue Team),"Kai'Sa,Fiora,Pyke,Sion,Gragas",(Red Team)
"Irelia,Xin Zhao,Ezreal,Alistar,Kennen",http://www.op.gg/summoner/matches/ajax/detail/gameId=3369695300&summonerId=41913808&gameTime=1538677104,(Red Team),"Thresh,Lucian,Jayce,Taliyah,Yasuo",(Blue Team)
"Yasuo,Irelia,Lee Sin,Fiddlesticks,Akali",http://www.op.gg/summoner/matches/ajax/detail/gameId=3370472627&summonerId=41913808&gameTime=1538737709,(Blue Team),"Anivia,Shen,Jarvan IV,Rumble,Aatrox",(Red Team)
"Camille,Xin Zhao,Ekko,Swain,Leona",http://www.op.gg/summoner/matches/ajax/detail/gameId=3370469696&summonerId=41913808&gameTime=1538739583,(Blue Team),"Urgot,Trundle,Aurelion Sol,Lucian,Fiddlesticks",(Red Team)
"Kassadin,Camille,Tristana,Irelia,Gragas",http://www.op.gg/summoner/matches/ajax/detail/gameId=3377228907&summonerId=57541180&gameTime=1539150308,(Blue Team),"Ezreal,Jayce,Nidalee,Alistar,Urgot",(Red Team)
"Graves,Thresh,LeBlanc,Kai'Sa,Irelia",http://www.op.gg/summoner/matches/ajax/detail/gameId=3369649551&summonerId=41913808&gameTime=1538672856,(Red Team),"Poppy,Jayce,Lucian,Gragas,Rumble",(Blue Team)
"Alistar,Poppy,Varus,Kindred,LeBlanc",http://www.op.gg/summoner/matches/ajax/detail/gameId=3369579231&summonerId=41913808&gameTime=1538668002,(Blue Team),"Nidalee,Akali,Sion,Yasuo,Rakan",(Red Team)
"Syndra,Nidalee,Maokai,Zyra,Jhin",http://www.op.gg/summoner/matches/ajax/detail/gameId=3369633401&summonerId=41913808&gameTime=1538670859,(Blue Team),"Sivir,Thresh,Ryze,Graves,Aatrox",(Red Team)
