url,two,one,oneTeam,result,twoTeam
http://www.op.gg/summoner/matches/ajax/detail/gameId=3361022060&summonerId=25260179&gameTime=1538097765,(Blue Team),(Red Team),"Pantheon,Kog'Maw,Leona,Pyke,Graves",Defeat,"Morgana,Nautilus,Vladimir,Ekko,Caitlyn"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3304797241&summonerId=64250795&gameTime=1534004819,(Blue Team),(Red Team),"Alistar,Kai'Sa,Orianna,Vladimir,Xin Zhao",Defeat,"Gangplank,Rakan,Shaco,Ezreal,LeBlanc"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3360978985&summonerId=25260179&gameTime=1538092490,(Blue Team),(Red Team),"Kog'Maw,Corki,Shaco,Swain,Teemo",Victory,"Sona,Maokai,Vel'Koz,Yasuo,Malphite"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3361001898&summonerId=25260179&gameTime=1538096758,(Blue Team),(Red Team),"Kindred,Galio,Caitlyn,Jhin,Teemo",Victory,"Ziggs,Jax,Volibear,Annie,Shen"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3305584053&summonerId=64250795&gameTime=1534074225,(Blue Team),(Red Team),"Karthus,Pyke,Kai'Sa,Zac,Camille",Defeat,"Ezreal,Talon,Aatrox,Alistar,Olaf"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3304893502&summonerId=64250795&gameTime=1534010394,(Red Team),(Blue Team),"Malphite,Kindred,Talon,Varus,Tahm Kench",Victory,"Quinn,Lee Sin,Akali,Kai'Sa,Shen"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3360266150&summonerId=25260179&gameTime=1538027427,(Blue Team),(Red Team),"Ryze,Gragas,Lissandra,Kai'Sa,Alistar",Victory,"Urgot,Kayn,Irelia,Ezreal,Braum"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3359575443&summonerId=25260179&gameTime=1537969389,(Blue Team),(Red Team),"Corki,Blitzcrank,Janna,Aatrox,Teemo",Defeat,"Twisted Fate,Morgana,Heimerdinger,Irelia,Olaf"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3305124568&summonerId=64250795&gameTime=1534047921,(Blue Team),(Red Team),"Cassiopeia,Gragas,Ryze,Yasuo,Tahm Kench",Victory,"Rumble,Nocturne,Aatrox,Tristana,Soraka"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3360539993&summonerId=25260179&gameTime=1538049729,(Blue Team),(Red Team),"Kassadin,Pyke,Caitlyn,Singed,Vladimir",Defeat,"Teemo,Braum,Wukong,Ivern,Ezreal"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3359234039&summonerId=25260179&gameTime=1537953349,(Blue Team),(Red Team),"Kai'Sa,Shen,Lux,Yasuo,Lee Sin",Defeat,"Jax,Sona,Kassadin,Sivir,Bard"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3359144498&summonerId=25260179&gameTime=1537951002,(Blue Team),(Red Team),"Viktor,Kai'Sa,Aatrox,Janna,Lee Sin",Defeat,"Bard,Irelia,Xayah,Gragas,Yasuo"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3358924087&summonerId=25260179&gameTime=1537938853,(Blue Team),(Red Team),"Urgot,Gragas,Lissandra,Lucian,Alistar",Defeat,"Camille,Olaf,Aatrox,Kai'Sa,Braum"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3359296972&summonerId=25260179&gameTime=1537958687,(Red Team),(Blue Team),"Irelia,Aatrox,Gragas,Taliyah,Gnar",Defeat,"Poppy,Jayce,Kindred,Rakan,Heimerdinger"
http://www.op.gg/summoner/matches/ajax/detail/gameId=3358970693&summonerId=25260179&gameTime=1537940894,(Blue Team),(Red Team),"Kai'Sa,Thresh,Aatrox,Urgot,Taliyah",Defeat,"Camille,Akali,Twitch,Kindred,Gragas"
