"gameid","gametype","blue","red","resulta","url","SPLIT_STR(blue,',', 1)","SPLIT_STR(blue,',', 2)","SPLIT_STR(blue,',', 3)","SPLIT_STR(blue,',', 4)","SPLIT_STR(blue,',', 5)","SPLIT_STR(red,',',1)","SPLIT_STR(red,',',2)","SPLIT_STR(red,',',3)","SPLIT_STR(red,',',4)","SPLIT_STR(red,',',5)"
"3213879176","Ranked Solo","Morgana,Trundle,Ryze,Jhin,Zoe","Caitlyn,Graves,Jax,Leona,Irelia","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213879176&summonerId=25260179&gameTime=1527000026","Morgana","Trundle","Ryze","Jhin","Zoe","Caitlyn","Graves","Jax","Leona","Irelia"
"3213957930","Ranked Solo","Vladimir,Camille,Malzahar,Kai'Sa,Alistar","Ornn,Kha'Zix,Galio,Ezreal,Rakan","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213957930&summonerId=25260179&gameTime=1527002205","Vladimir","Camille","Malzahar","Kai'Sa","Alistar","Ornn","Kha'Zix","Galio","Ezreal","Rakan"
"3213997894","Ranked Solo","Alistar,Graves,Vladimir,Vayne,Cho'Gath","Ezreal,Camille,Dr. Mundo,Morgana,Aurelion Sol","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3213997894&summonerId=64250795&gameTime=1527004550","Alistar","Graves","Vladimir","Vayne","Cho'Gath","Ezreal","Camille","Dr. Mundo","Morgana","Aurelion Sol"
"3214003241","Ranked Solo","Xin Zhao,Alistar,Vladimir,Caitlyn,Illaoi","Skarner,Urgot,Leona,Anivia,Jhin","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214003241&summonerId=64250795&gameTime=1527003267","Xin Zhao","Alistar","Vladimir","Caitlyn","Illaoi","Skarner","Urgot","Leona","Anivia","Jhin"
"3214010160","Ranked Solo","Lulu,Graves,Malphite,Kai'Sa,Shen","Xayah,Yasuo,Xin Zhao,Zoe,Alistar","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214010160&summonerId=66800151&gameTime=1527002427","Lulu","Graves","Malphite","Kai'Sa","Shen","Xayah","Yasuo","Xin Zhao","Zoe","Alistar"
"3214010160","Ranked Solo","Lulu,Graves,Malphite,Kai'Sa,Shen","Xayah,Yasuo,Xin Zhao,Zoe,Alistar","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214010160&summonerId=66800151&gameTime=1527002427","Lulu","Graves","Malphite","Kai'Sa","Shen","Xayah","Yasuo","Xin Zhao","Zoe","Alistar"
"3214010160","Ranked Solo","Lulu,Graves,Malphite,Kai'Sa,Shen","Xayah,Yasuo,Xin Zhao,Zoe,Alistar","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214010160&summonerId=56951349&gameTime=1527002427","Lulu","Graves","Malphite","Kai'Sa","Shen","Xayah","Yasuo","Xin Zhao","Zoe","Alistar"
"3214010160","Ranked Solo","Lulu,Graves,Malphite,Kai'Sa,Shen","Xayah,Yasuo,Xin Zhao,Zoe,Alistar","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214010160&summonerId=56951349&gameTime=1527002427","Lulu","Graves","Malphite","Kai'Sa","Shen","Xayah","Yasuo","Xin Zhao","Zoe","Alistar"
"3214014966","Ranked Solo","Kennen,Talon,Graves,Ezreal,Braum","Vladimir,Jayce,Thresh,Xayah,Xin Zhao","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214014966&summonerId=25260179&gameTime=1527004546","Kennen","Talon","Graves","Ezreal","Braum","Vladimir","Jayce","Thresh","Xayah","Xin Zhao"
"3214014966","Ranked Solo","Kennen,Talon,Graves,Ezreal,Braum","Vladimir,Jayce,Thresh,Xayah,Xin Zhao","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214014966&summonerId=25260179&gameTime=1527004546","Kennen","Talon","Graves","Ezreal","Braum","Vladimir","Jayce","Thresh","Xayah","Xin Zhao"
"3214014966","Ranked Solo","Kennen,Talon,Graves,Ezreal,Braum","Vladimir,Jayce,Thresh,Xayah,Xin Zhao","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214014966&summonerId=56951349&gameTime=1527004546","Kennen","Talon","Graves","Ezreal","Braum","Vladimir","Jayce","Thresh","Xayah","Xin Zhao"
"3214014966","Ranked Solo","Kennen,Talon,Graves,Ezreal,Braum","Vladimir,Jayce,Thresh,Xayah,Xin Zhao","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214014966&summonerId=56951349&gameTime=1527004546","Kennen","Talon","Graves","Ezreal","Braum","Vladimir","Jayce","Thresh","Xayah","Xin Zhao"
"3214030105","Ranked Solo","Jhin,Lee Sin,Karma,Malzahar,Jayce","Tahm Kench,Trundle,Yasuo,Caitlyn,Akali","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214030105&summonerId=56921556&gameTime=1527002082","Jhin","Lee Sin","Karma","Malzahar","Jayce","Tahm Kench","Trundle","Yasuo","Caitlyn","Akali"
"3214100760","Ranked Solo","Irelia,Olaf,Vladimir,Kai'Sa,Nautilus","Malphite,Camille,Ryze,Kog'Maw,Alistar","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214100760&summonerId=41913808&gameTime=1527006837","Irelia","Olaf","Vladimir","Kai'Sa","Nautilus","Malphite","Camille","Ryze","Kog'Maw","Alistar"
"3214100760","Ranked Solo","Irelia,Olaf,Vladimir,Kai'Sa,Nautilus","Malphite,Camille,Ryze,Kog'Maw,Alistar","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214100760&summonerId=41913808&gameTime=1527006837","Irelia","Olaf","Vladimir","Kai'Sa","Nautilus","Malphite","Camille","Ryze","Kog'Maw","Alistar"
